id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q941388,Valeriu Muravschi,1991-05-28,1992-07-01,,Q438706,Q2041112,Popular Front of Moldova
Q438706,Andrei Sangheli,1992-07-01,1997-01-24,Q941388,Q438715,,
Q438715,Ion Ciubuc,1997-01-24,1999-03-199912-Feb.-05-Resigned:,Q438706,Q2143400,,
Q2143400,Serafim Urechean,1999-02-05,1999-02-19,Q438715,Q1672026,,
Q1672026,Ion Sturza,1999-02-19,1999-03-12,Q2143400,Q1672026,,
Q1672026,Ion Sturza,1999-03-12,1999-12-21,Q1672026,Q1265040,,
Q1265040,Dumitru Braghiș,1999-12-21,2001-04-19,Q1672026,Q182230,,
Q182230,Vasile Tarlev,2001-04-19,2008-03-31,Q1265040,Q182230,Q12729746,First Tarlev Cabinet
Q182230,Vasile Tarlev,2001-04-19,2008-03-31,Q182230,Q61299,Q12729747,Second Tarlev Cabinet
Q61299,Zinaida Greceanîi,2008-03-31,2009-09-14,Q182230,Q61299,Q8072245,First Greceanîi Cabinet
Q61299,Zinaida Greceanîi,2008-03-31,2009-09-14,Q61299,Q1371619,Q8072248,Second Greceanîi Cabinet
Q1371619,Vitalie Pîrlog,2009-09-14,2009-09-25,Q61299,Q57685,,
Q57685,Vlad Filat,2009-09-25,2013-04-25,Q1371619,Q57685,Q743490,First Filat Cabinet
Q57685,Vlad Filat,2009-09-25,2013-04-25,Q57685,Q58087,Q822706,Second Filat Cabinet
Q58087,Iurie Leancă,2013-04-25,2013-05-30,Q57685,Q58087,,
Q58087,Iurie Leancă,2013-05-30,2015-02-18,Q58087,Q19281444,Q13417074,Leancă Cabinet
Q19281444,Chiril Gaburici,2015-02-18,2015-06-22,Q58087,Q6968023,Q19334897,Gaburici Cabinet
Q6968023,Natalia Gherman,2015-06-22,2015-07-30,Q19281444,Q7911417,,
Q7911417,Valeriu Streleț,2015-07-30,2015-10-30,Q6968023,Q15715802,Q20741632,Streleț Cabinet
Q15715802,Gheorghe Brega,2015-10-30,2016-01-20,Q7911417,Q7155601,,
Q7155601,Pavel Filip,2016-01-20,2019-06-08,Q15715802,Q15071069,Q22158861,Filip Cabinet
Q15071069,Maia Sandu,2019-06-08,2019-11-14,Q7155601,Q75020865,Q64496215,Sandu Cabinet
Q75020865,Ion Chicu,2019-11-14,,Q15071069,,Q75161190,Chicu Cabinet
